Epoch,Validation_BLEU
1,29.071536848410968
2,53.7284965911771
3,32.17294420803808
4,8.643019616048525
5,39.76353643835254
6,36.602298481299876
7,0.0
8,20.412414523193153
9,35.35533905932737
10,35.930411196308434
11,49.99999999999999
12,49.99999999999999
13,100.00000000000004
14,21.02241038134286
15,30.739407647563215
16,30.213753973567677
17,25.40663740773073
18,14.058533129758727
19,26.084743001221455
20,0.0
